// Unused singles
CS (112, 1376) (276, 0) - 1 5 25 1 6 1 32 1 6 1 25 5 1 33 6 30 6 32 6 32 6 30 6 33 1 5 26 5 1 33 6 30 6 33 1 5 25 1 6 1 33 6 28 4 14 2 8 2 12 2 10 2 10 2 12 2 8 2 14 4 28 6 34 6 28 4 14 2 8 2 12 2 10 2 10 2 12 2 8 2 14 4 28 6 33 1 6 1 25 5 1 33 6 30 6 33 1 5 26 5 1 33 6 30 6 32 6 32 6 30 6 33
CS (122, 1484) (278, 0) - 1 5 20 4 24 4 16 2 8 2 12 4 30 6 32 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 33 1 5 26 4 18 4 22 4 22 4 18 4 26 5 1 33 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 32 6 30 4 12 2 8 2 16 4 24 4 20 5 1 27 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 27
CS (106, 1300) (279, 0) - 1 5 22 4 22 4 20 4 20 4 22 4 22 5 1 31 6 31 1 5 24 5 1 32 1 5 25 1 6 1 32 1 5 26 5 1 34 1 5 28 6 33 1 6 1 25 5 1 34 1 5 28 6 35 1 5 28 4 14 4 28 4 14 4 28 5 1 35 6 28 5 1 34 1 5 25 1 6 1 33 6 28 5 1 34 1 5 26 5 1 32 1 6 1 25 5 1 32 1 5 24 5 1 31 6 31
CS (108, 1344) (284, 0) - 1 5 22 4 18 4 25 1 6 1 29 6 33 1 5 26 4 16 4 26 6 34 6 27 1 6 1 29 6 31 1 6 1 25 5 1 33 6 27 1 6 1 29 6 32 6 29 1 6 1 27 6 33 1 5 25 1 6 1 31 6 29 1 6 1 27 6 34 6 26 4 16 4 26 5 1 33 6 29 1 6 1 25 4 18 4 22 5 1 29 6 33 1 5 26 4 14 2 8 2 14 4 26 5 1 33 6 29
CS (116, 1424) (284, 0) - 1 5 20 4 24 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 24 4 20 5 1 29 6 31 1 5 22 4 20 4 22 4 18 4 24 5 1 32 1 5 25 1 6 1 30 1 5 22 4 20 4 22 5 1 30 1 5 22 4 22 5 1 31 6 30 6 31 1 5 22 4 22 5 1 30 1 5 22 4 20 4 22 5 1 30 1 6 1 25 5 1 32 1 5 24 4 18 4 22 4 20 4 22 5 1 31 6 29
CS (88, 932) (286, 0) - 1 5 24 4 16 2 8 2 12 2 8 2 14 4 28 6 34 6 28 4 14 2 8 2 12 2 8 2 16 4 24 5 1 31 6 32 6 30 4 12 2 8 2 16 4 24 4 18 4 24 5 1 31 4 10 2 12 2 10 2 10 2 10 2 12 2 10 4 31 1 5 24 4 18 4 24 4 16 2 8 2 12 4 30 6 32 6 31
CS (100, 1276) (286, 0) - 1 5 22 4 22 5 1 29 4 14 4 28 6 35 1 5 30 6 32 6 30 4 12 2 10 2 12 4 30 6 32 6 30 5 1 35 6 28 4 14 4 29 1 5 22 4 22 5 1 29 5 1 35 6 28 6 35 1 5 28 4 14 2 6 2 18 4 22 4 20 4 24 5 1 32 1 5 24 4 20 4 22 4 18 2 6 2 14 4 28 5 1 35 6 28 6 35 1 5 29
CS (100, 1324) (288, 0) - 1 5 22 5 1 29 6 32 6 30 6 30 4 12 4 30 6 30 6 31 1 6 1 25 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 4 14 4 26 4 16 4 24 4 16 2 6 2 14 2 6 2 16 4 24 4 16 4 26 4 14 4 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 25 1 6 1 31 6 30 6 30 4 12 4 30 6 30 6 32 6 29
CS (130, 1396) (290, 0) - 1 5 24 4 20 4 20 4 24 5 1 33 6 28 4 14 2 8 2 14 4 27 1 6 1 29 4 12 2 10 2 10 2 12 2 8 2 14 2 6 2 16 4 26 5 1 33 6 31 1 5 24 5 1 31 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 31 1 5 24 5 1 31 6 33 1 5 26 4 16 2 6 2 14 2 8 2 12 2 10 2 10 2 12 4 29 1 6 1 27 4 14 2 8 2 14 4 28 6 33
CS (108, 1360) (297, 0) - 1 5 26 4 14 2 8 2 12 2 8 2 14 4 26 4 14 4 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 4 14 4 26 4 14 2 8 2 12 2 8 2 14 4 26 5 1 33 6 28 6 34 6 26 4 16 4 26 6 34 6 28 6 33 1 5 26 4 14 2 8 2 12 2 8 2 14 4 26 5 1 33 6 28 6 34 6 26 4 16 4 26 6 34 6 28 6 33
